Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Dew Point,Wind Speed,GHI,region,EL
2012,1,1,1,30,3.4,44.47,-7.6,4.9,0,WEST,849.0008921
2012,1,1,2,30,2.2,54.87,-5.9,4,0,WEST,845.0973635
2012,1,1,3,30,1,64.49,-5,2.8,0,WEST,840.9028485
2012,1,1,4,30,-0.2,72.33,-4.6,1.9,0,WEST,845.4522569
2012,1,1,5,30,-1,77.26,-4.5,1.6,0,WEST,862.369386
2012,1,1,6,30,-1.4,79.14,-4.5,1.8,0,WEST,892.3411152
2012,1,1,7,30,-0.6,73.44,-4.8,2.7,0,WEST,937.004247
2012,1,1,8,30,1.7,60.57,-5.1,3.6,104,WEST,983.047607
2012,1,1,9,30,5,45.66,-5.8,3.8,294,WEST,1009.202331
2012,1,1,10,30,7.9,28.83,-9.1,3.7,464,WEST,1008.613408
2012,1,1,11,30,9.6,23.36,-10.4,3.3,584,WEST,985.2849904
2012,1,1,12,30,10.7,21.44,-10.5,2.8,643,WEST,964.0653948
2012,1,1,13,30,11.4,20.42,-10.5,2.5,633,WEST,941.2886457
2012,1,1,14,30,11.6,20.17,-10.5,2.4,557,WEST,920.5565432
2012,1,1,15,30,11.2,20.64,-10.6,2.3,422,WEST,895.5955938
2012,1,1,16,30,8.9,24.77,-10.2,1.6,239,WEST,885.9990798
2012,1,1,17,30,6,42.2,-5.9,1.2,52,WEST,888.7269143
2012,1,1,18,30,4.4,41.86,-7.4,1.3,0,WEST,932.3112503
2012,1,1,19,30,3.4,43.95,-7.7,1.4,0,WEST,1024.286367
2012,1,1,20,30,2.5,46.08,-7.9,1.4,0,WEST,1047.486448
2012,1,1,21,30,1.7,48.16,-8.1,1.4,0,WEST,1048.195406
2012,1,1,22,30,1,50.15,-8.2,1.4,0,WEST,1050.054127
2012,1,1,23,30,0.3,52.47,-8.3,1.4,0,WEST,1035.66559
2012,1,2,0,30,-0.2,54.05,-8.4,1.3,0,WEST,1013.58041
2012,1,2,1,30,-0.4,54.34,-8.5,1.2,0,WEST,998.263915
2012,1,2,2,30,-0.4,53.71,-8.7,1.1,0,WEST,1003.566423
2012,1,2,3,30,-0.5,54.26,-8.6,1,0,WEST,1017.125365
2012,1,2,4,30,-0.9,56.53,-8.5,1,0,WEST,1040.273664
2012,1,2,5,30,-1.8,60.96,-8.3,1.1,0,WEST,1072.828158
2012,1,2,6,30,-2.9,66.77,-8.2,1.2,0,WEST,1128.889877
2012,1,2,7,30,-2.4,64.83,-8.1,1.6,0,WEST,1206.819517
2012,1,2,8,30,0.1,55.2,-7.8,2.3,99,WEST,1259.831006
2012,1,2,9,30,3.6,43.99,-7.5,2.8,290,WEST,1248.046638
2012,1,2,10,30,6.8,34.45,-7.8,2.7,456,WEST,1208.165773
2012,1,2,11,30,8.7,29.28,-8.3,2.3,575,WEST,1151.41747
2012,1,2,12,30,9.9,26.77,-8.4,1.9,632,WEST,1094.816635
2012,1,2,13,30,10.7,25.04,-8.5,1.7,624,WEST,1047.466048
2012,1,2,14,30,11,24.25,-8.7,1.6,549,WEST,1013.773593
2012,1,2,15,30,10.8,24.46,-8.8,1.4,416,WEST,972.7471232
2012,1,2,16,30,9.2,29.31,-7.8,1,240,WEST,950.8061428
2012,1,2,17,30,7.2,39.57,-5.7,1,53,WEST,954.0789061
2012,1,2,18,30,5.7,37.36,-7.8,1.2,0,WEST,1011.605239
2012,1,2,19,30,4.3,41.35,-7.7,1.4,0,WEST,1115.891009
2012,1,2,20,30,3,45.48,-7.7,1.4,0,WEST,1140.422154
2012,1,2,21,30,1.9,48.81,-7.7,1.5,0,WEST,1143.645059
2012,1,2,22,30,1.1,51.44,-7.8,1.6,0,WEST,1135.096984
2012,1,2,23,30,0.5,53.73,-7.8,1.7,0,WEST,1099.534103
2012,1,3,0,30,0,55.74,-7.8,1.8,0,WEST,1066.81987
2012,1,3,1,30,-0.6,58.44,-7.8,1.8,0,WEST,1049.608226
2012,1,3,2,30,-1.1,60.99,-7.7,1.8,0,WEST,1031.515028
2012,1,3,3,30,-1.4,63.18,-7.5,1.9,0,WEST,1012.033726
2012,1,3,4,30,-1.7,65.62,-7.3,1.9,0,WEST,1055.890229
2012,1,3,5,30,-1.9,67.73,-7.1,2,0,WEST,1106.589314
2012,1,3,6,30,-2.1,69.7,-6.9,2.1,0,WEST,1183.735909
2012,1,3,7,30,-1,64.98,-6.8,2.7,0,WEST,1297.990289
2012,1,3,8,30,1.6,54.77,-6.5,3.6,97,WEST,1355.158417
2012,1,3,9,30,5,44.27,-6.2,3.9,288,WEST,1319.140462
2012,1,3,10,30,8.8,35.74,-5.6,4.5,456,WEST,1244.212775
2012,1,3,11,30,12,29.58,-5.2,5.1,576,WEST,1169.439312
2012,1,3,12,30,14.4,25.49,-5.1,5.5,632,WEST,1108.741892
2012,1,3,13,30,16,23.08,-5.1,5.5,624,WEST,1055.805644
2012,1,3,14,30,16.9,22.14,-4.9,5.4,549,WEST,1011.081293
2012,1,3,15,30,16.6,23.21,-4.5,4.2,419,WEST,975.1541837
2012,1,3,16,30,13.5,32.67,-2.6,2.6,241,WEST,956.0280156
2012,1,3,17,30,10.1,44.34,-1.5,2,54,WEST,959.9956091
2012,1,3,18,30,8.9,45.18,-2.3,2.5,0,WEST,1000.63504
2012,1,3,19,30,8.4,46.95,-2.3,3.1,0,WEST,1096.79683
2012,1,3,20,30,7.8,49.6,-2.1,3.4,0,WEST,1117.93443
2012,1,3,21,30,7,52.73,-2,3.5,0,WEST,1118.687026
2012,1,3,22,30,6.2,55.42,-2.1,3.6,0,WEST,1093.43405
2012,1,3,23,30,5.4,57.68,-2.3,3.6,0,WEST,1043.089006
2012,1,4,0,30,4.5,60.15,-2.6,3.4,0,WEST,985.15724
2012,1,4,1,30,3.8,61.21,-3,3,0,WEST,971.5804483
2012,1,4,2,30,3.5,60.05,-3.5,2.8,0,WEST,965.0946478
2012,1,4,3,30,3.7,56.4,-4.2,2.7,0,WEST,965.931939
2012,1,4,4,30,4,53.75,-4.5,2.8,0,WEST,975.5211164
2012,1,4,5,30,4.3,52.85,-4.5,3.3,0,WEST,1003.731546
2012,1,4,6,30,4.4,54.42,-4,3.9,0,WEST,1076.073881
2012,1,4,7,30,4.7,55.58,-3.4,4.7,0,WEST,1187.19464
2012,1,4,8,30,6.4,51.47,-2.9,5.6,56,WEST,1226.011781
2012,1,4,9,30,9.3,43.3,-2.6,7,248,WEST,1195.30147
2012,1,4,10,30,12.2,34.57,-3,7.9,348,WEST,1147.857383
2012,1,4,11,30,14.4,28.97,-3.4,7.8,462,WEST,1096.619713
2012,1,4,12,30,15.9,25.44,-3.9,7.3,628,WEST,1048.010276
2012,1,4,13,30,16.7,23.42,-4.3,6.7,620,WEST,1000.497461
2012,1,4,14,30,16.9,22.48,-4.7,6.1,546,WEST,967.1374375
2012,1,4,15,30,16.2,22.9,-5,5,416,WEST,939.4130417
2012,1,4,16,30,13.2,28.27,-4.8,3.1,240,WEST,923.7033844
2012,1,4,17,30,9.3,42.14,-2.9,1.8,55,WEST,927.235641
2012,1,4,18,30,7.4,45.99,-3.5,1.6,0,WEST,959.8973754
2012,1,4,19,30,6.7,47.08,-3.8,1.5,0,WEST,1051.582553
2012,1,4,20,30,6.4,46.68,-4.2,1.5,0,WEST,1069.097918
2012,1,4,21,30,6.3,45.63,-4.6,1.3,0,WEST,1070.947196
2012,1,4,22,30,6.5,43.84,-4.9,1,0,WEST,1056.588086
2012,1,4,23,30,6.6,42.37,-5.3,0.5,0,WEST,1021.750558
2012,1,5,0,30,6.2,43.28,-5.4,0.3,0,WEST,981.00963
2012,1,5,1,30,5.3,45.81,-5.5,0.7,0,WEST,973.338838
2012,1,5,2,30,4.3,48.88,-5.5,1,0,WEST,979.0804955
2012,1,5,3,30,3.6,51.06,-5.6,1.1,0,WEST,992.9600164
2012,1,5,4,30,3.1,52.71,-5.6,1.2,0,WEST,1020.507175
2012,1,5,5,30,2.4,55.24,-5.7,1.3,0,WEST,1060.776344
2012,1,5,6,30,1.4,59.25,-5.7,1.4,0,WEST,1138.054006
2012,1,5,7,30,1.5,58.89,-5.7,1.4,0,WEST,1256.823609
2012,1,5,8,30,4.4,50.09,-5.1,2.2,98,WEST,1299.494727
2012,1,5,9,30,8.2,39.46,-4.8,3.1,291,WEST,1231.716546
2012,1,5,10,30,12,31.45,-4.4,3.5,461,WEST,1160.325303
2012,1,5,11,30,15,24.72,-5,3.9,583,WEST,1097.268005
2012,1,5,12,30,16.5,21.6,-5.5,4,642,WEST,1034.80555
2012,1,5,13,30,17.2,20.04,-6,4,635,WEST,984.6774952
2012,1,5,14,30,17.3,19.38,-6.3,3.8,561,WEST,942.7633428
2012,1,5,15,30,16.5,20.08,-6.5,3,428,WEST,916.8585128
2012,1,5,16,30,13.2,30.02,-4,1.8,252,WEST,903.3464159
2012,1,5,17,30,9.4,42.59,-2.7,1.6,61,WEST,909.887574
2012,1,5,18,30,7.6,42.33,-4.4,1.8,0,WEST,930.4460513
2012,1,5,19,30,6.7,43.42,-4.9,2,0,WEST,1013.136441
2012,1,5,20,30,6.1,43.72,-5.3,2.4,0,WEST,1037.448518
2012,1,5,21,30,5.6,44.67,-5.5,2.7,0,WEST,1039.599408
2012,1,5,22,30,5,47.27,-5.3,2.9,0,WEST,1019.088672
2012,1,5,23,30,4.3,51.14,-4.9,3.1,0,WEST,976.3718651
2012,1,6,0,30,3.6,54.61,-4.7,3.2,0,WEST,932.43652
2012,1,6,1,30,2.9,56.98,-4.8,3,0,WEST,906.2409757
2012,1,6,2,30,2.3,57.71,-5.2,2.8,0,WEST,900.601663
2012,1,6,3,30,1.9,57.31,-5.7,2.7,0,WEST,904.1440005
2012,1,6,4,30,1.6,56.99,-6,2.7,0,WEST,915.252732
2012,1,6,5,30,1.3,57.12,-6.3,2.7,0,WEST,942.0772716
2012,1,6,6,30,1,57.37,-6.5,2.9,0,WEST,1006.55464
2012,1,6,7,30,1.9,53.1,-6.7,3.6,0,WEST,1119.375307
2012,1,6,8,30,4.4,44.64,-6.6,4.5,98,WEST,1164.704909
2012,1,6,9,30,7.8,35.48,-6.5,4.6,291,WEST,1118.31527
2012,1,6,10,30,11.8,27.8,-6.2,5,462,WEST,1056.456271
2012,1,6,11,30,15.4,21.41,-6.6,5.8,580,WEST,1014.1723
2012,1,6,12,30,18,17.79,-6.9,6.2,641,WEST,980.6974308
2012,1,6,13,30,19.6,15.52,-7.3,6.1,634,WEST,947.9879668
2012,1,6,14,30,20.3,14.48,-7.7,5.4,561,WEST,926.760962
2012,1,6,15,30,19.5,15.19,-7.7,3.8,428,WEST,908.8742995
2012,1,6,16,30,15.8,25.41,-4,2.2,251,WEST,900.2770553
2012,1,6,17,30,12,35.6,-2.8,1.7,62,WEST,899.3965663
2012,1,6,18,30,10.4,36.46,-3.9,1.7,0,WEST,903.3131923
2012,1,6,19,30,9.9,37.92,-3.8,2.3,0,WEST,963.1659407
2012,1,6,20,30,9.6,39.85,-3.4,3.8,0,WEST,963.7491422
2012,1,6,21,30,9.1,43.18,-2.8,5.2,0,WEST,953.8040206
2012,1,6,22,30,8.1,48.76,-2,5.5,0,WEST,941.7521913
2012,1,6,23,30,6.8,54.21,-1.8,5.2,0,WEST,917.0473918
2012,1,7,0,30,5.7,56.56,-2.3,5,0,WEST,882.49623
2012,1,7,1,30,4.6,57.34,-3.1,4.7,0,WEST,859.524261
2012,1,7,2,30,3.6,57.76,-4,4.4,0,WEST,850.3504763
2012,1,7,3,30,2.7,59.05,-4.5,3.9,0,WEST,853.2792559
2012,1,7,4,30,1.9,61.25,-4.8,3.5,0,WEST,861.4038089
2012,1,7,5,30,1.2,63.73,-4.9,3.1,0,WEST,884.218271
2012,1,7,6,30,0.5,66.59,-5,2.9,0,WEST,920.4283855
2012,1,7,7,30,0.9,64.31,-5.1,3.3,0,WEST,974.6054097
2012,1,7,8,30,2.9,55.73,-5.1,3.8,96,WEST,1033.235241
2012,1,7,9,30,5.8,45.14,-5.2,3.6,287,WEST,1063.312005
2012,1,7,10,30,8.5,36.51,-5.6,2.8,457,WEST,1064.559696
2012,1,7,11,30,10.4,32.93,-5.2,1.6,575,WEST,1042.435382
2012,1,7,12,30,11.9,30.84,-4.8,1.3,594,WEST,1004.831676
2012,1,7,13,30,13,29.39,-4.5,1.8,596,WEST,971.703431
2012,1,7,14,30,13.7,28.81,-4.1,2,552,WEST,941.1523246
2012,1,7,15,30,13.6,29.78,-3.8,1.8,420,WEST,925.3276772
2012,1,7,16,30,12.2,34.46,-3,1.2,245,WEST,921.9640588
2012,1,7,17,30,10.6,43.97,-1.2,0.6,46,WEST,922.3201697
2012,1,7,18,30,9.5,42.52,-2.6,0.7,0,WEST,952.9587967
2012,1,7,19,30,8,46.57,-2.8,1.1,0,WEST,1020.822874
2012,1,7,20,30,6.9,50.79,-2.6,1.3,0,WEST,1029.437111
2012,1,7,21,30,6.5,52.9,-2.4,1.4,0,WEST,1010.970657
2012,1,7,22,30,6.1,54.34,-2.4,1.5,0,WEST,985.8618801
2012,1,7,23,30,5.4,56.48,-2.6,1.6,0,WEST,961.0560044
2012,1,8,0,30,4.7,58.84,-2.7,1.6,0,WEST,929.71032
2012,1,8,1,30,4,61.63,-2.7,1.5,0,WEST,905.2720739
2012,1,8,2,30,3.2,65.41,-2.7,1.4,0,WEST,893.3833276
2012,1,8,3,30,2.7,68.58,-2.5,1.3,0,WEST,894.6369226
2012,1,8,4,30,2.2,72.02,-2.3,1.2,0,WEST,907.7849334
2012,1,8,5,30,1.7,75.4,-2.2,1.2,0,WEST,923.3253008
2012,1,8,6,30,1.5,77.17,-2.1,1.2,0,WEST,955.0984959
2012,1,8,7,30,2.4,73.19,-1.9,1.6,0,WEST,994.830845
2012,1,8,8,30,3.9,66.66,-1.7,2.5,29,WEST,1042.763865
2012,1,8,9,30,5.2,61.52,-1.6,3,111,WEST,1076.042722
2012,1,8,10,30,6.8,56.05,-1.4,3.4,299,WEST,1077.229752
2012,1,8,11,30,8.6,50.66,-1.1,3.8,329,WEST,1051.625498
2012,1,8,12,30,10.1,47.48,-0.6,4,413,WEST,1024.323435
2012,1,8,13,30,11.4,45.35,0,4.2,485,WEST,1010.664164
2012,1,8,14,30,12,45.06,0.4,4.3,545,WEST,992.495344
2012,1,8,15,30,11.7,46.77,0.7,4.3,415,WEST,968.8961105
2012,1,8,16,30,9.9,52.87,0.7,3.6,241,WEST,959.4733519
2012,1,8,17,30,7.4,61.8,0.5,3.1,47,WEST,964.6874632
2012,1,8,18,30,6,65.04,-0.1,3.8,0,WEST,1001.108418
2012,1,8,19,30,5.2,68.44,-0.1,4.4,0,WEST,1060.732109
2012,1,8,20,30,4.4,77.13,0.7,4.6,0,WEST,1064.44475
2012,1,8,21,30,4.1,87.45,2.2,4.8,0,WEST,1050.493157
2012,1,8,22,30,4.4,92.88,3.3,5,0,WEST,1017.310699
2012,1,8,23,30,4.5,93.21,3.5,5.1,0,WEST,966.4267836
2012,1,9,0,30,4.4,90.57,3,5.2,0,WEST,912.00711
2012,1,9,1,30,4.1,87.74,2.2,5.1,0,WEST,885.8041891
2012,1,9,2,30,3.8,85.52,1.6,5.1,0,WEST,877.1186817
2012,1,9,3,30,3.4,84.24,1,5.4,0,WEST,882.6373463
2012,1,9,4,30,3,81.84,0.2,5.8,0,WEST,893.2890182
2012,1,9,5,30,2.3,79.45,-0.9,6.1,0,WEST,919.0310916
2012,1,9,6,30,1.3,78.2,-2.1,6.1,0,WEST,981.3504455
2012,1,9,7,30,0.6,76.34,-3.1,5.2,0,WEST,1091.934299
2012,1,9,8,30,0.6,75.56,-3.2,3.9,28,WEST,1145.920588
2012,1,9,9,30,0.9,76.38,-2.8,4.3,40,WEST,1165.903867
2012,1,9,10,30,1.1,77.24,-2.4,5.8,104,WEST,1186.67767
2012,1,9,11,30,1.5,76.31,-2.2,6.6,110,WEST,1199.541515
2012,1,9,12,30,1.8,75.56,-2.1,6.3,75,WEST,1195.510469
2012,1,9,13,30,1.9,75.77,-1.9,5.7,137,WEST,1190.370272
2012,1,9,14,30,1.7,77,-1.9,5,99,WEST,1190.606301
2012,1,9,15,30,1.6,78.06,-1.8,4.3,96,WEST,1183.837449
2012,1,9,16,30,1.2,81.76,-1.6,3.5,23,WEST,1188.848893
2012,1,9,17,30,0.3,88.34,-1.4,2.7,20,WEST,1225.759715
2012,1,9,18,30,-0.4,91.5,-1.6,2.5,0,WEST,1263.07549
2012,1,9,19,30,-0.6,91.38,-1.8,2.7,0,WEST,1316.860801
2012,1,9,20,30,-0.4,90.29,-1.8,2.7,0,WEST,1319.837597
2012,1,9,21,30,-0.2,90.57,-1.6,2.6,0,WEST,1298.17753
2012,1,9,22,30,-0.1,91.02,-1.4,2.9,0,WEST,1254.915969
2012,1,9,23,30,0.1,90.71,-1.2,3.5,0,WEST,1185.637065
2012,1,10,0,30,0.2,91.02,-1.1,3.5,0,WEST,1124.53457
2012,1,10,1,30,-0.3,92.6,-1.4,3,0,WEST,1087.585903
2012,1,10,2,30,-0.6,89.24,-2.2,2.8,0,WEST,1079.811159
2012,1,10,3,30,-0.6,86.46,-2.6,3.2,0,WEST,1076.976439
2012,1,10,4,30,-1,85.31,-3.2,3.3,0,WEST,1086.159812
2012,1,10,5,30,-1.7,82.45,-4.3,3.4,0,WEST,1113.275294
2012,1,10,6,30,-2.4,79.18,-5.5,3.5,0,WEST,1173.724747
2012,1,10,7,30,-2.4,71.79,-6.8,3.8,0,WEST,1271.723528
2012,1,10,8,30,-0.7,61.35,-7.2,4.2,95,WEST,1316.662905
2012,1,10,9,30,2,55.89,-5.9,4.1,291,WEST,1294.703108
2012,1,10,10,30,5.3,49.48,-4.4,4.1,470,WEST,1258.840192
2012,1,10,11,30,8.3,38.89,-4.9,4.6,596,WEST,1212.631422
2012,1,10,12,30,10.1,34.4,-4.9,4.7,660,WEST,1160.736194
2012,1,10,13,30,11.1,34.28,-4.1,4.5,655,WEST,1115.492378
2012,1,10,14,30,11.6,34.63,-3.5,4.3,583,WEST,1072.053127
2012,1,10,15,30,11.2,36.89,-3,3.4,448,WEST,1033.206626
2012,1,10,16,30,8.7,53.28,-0.3,2.1,268,WEST,1012.175422
2012,1,10,17,30,5.5,68.34,0.1,1.7,73,WEST,1008.731253
2012,1,10,18,30,4.2,64.77,-1.8,1.9,0,WEST,1037.121829
2012,1,10,19,30,3.8,65.15,-2.1,2.1,0,WEST,1137.985449
2012,1,10,20,30,3.8,65.15,-2.1,2.5,0,WEST,1164.115523
2012,1,10,21,30,3.9,65.74,-1.9,3,0,WEST,1169.29302
2012,1,10,22,30,3.7,67.6,-1.7,3.4,0,WEST,1147.521206
2012,1,10,23,30,3.2,70.3,-1.7,3.9,0,WEST,1095.250376
2012,1,11,0,30,2.6,72.85,-1.8,4.3,0,WEST,1044.73681
2012,1,11,1,30,2,75.54,-1.9,4.6,0,WEST,1016.335877
2012,1,11,2,30,1.6,76.53,-2.1,4.8,0,WEST,1012.135871
2012,1,11,3,30,1.4,75.96,-2.4,4.8,0,WEST,1016.985311
2012,1,11,4,30,1.3,74.77,-2.7,4.7,0,WEST,1035.152213
2012,1,11,5,30,1,75.03,-2.9,4.6,0,WEST,1063.070073
2012,1,11,6,30,0.8,75.1,-3.1,4.7,0,WEST,1131.8189
2012,1,11,7,30,1.3,71.65,-3.3,5.2,0,WEST,1242.47493
2012,1,11,8,30,3.1,64.8,-2.9,5.8,98,WEST,1274.540319
2012,1,11,9,30,6.2,55.07,-2.2,6,293,WEST,1209.294238
2012,1,11,10,30,10,44.92,-1.4,6.4,464,WEST,1124.988147
2012,1,11,11,30,13.3,36.13,-1.4,7.1,585,WEST,1065.763456
2012,1,11,12,30,15.3,31.84,-1.4,7.4,642,WEST,1015.629392
2012,1,11,13,30,16.2,30.74,-1.1,7.5,635,WEST,974.4793727
2012,1,11,14,30,16,31.92,-0.7,7.3,564,WEST,944.3969749
2012,1,11,15,30,14.6,35.76,-0.4,7.1,368,WEST,932.9341644
2012,1,11,16,30,11.8,44.14,0,6.5,259,WEST,923.36986
2012,1,11,17,30,8.7,54.51,0,5.7,53,WEST,938.2195887
2012,1,11,18,30,6.3,62.34,-0.4,5.5,0,WEST,971.7387665
2012,1,11,19,30,4.5,67.27,-1,5.8,0,WEST,1060.99437
2012,1,11,20,30,2.8,70.48,-2,6.2,0,WEST,1083.109345
2012,1,11,21,30,1.5,70.51,-3.3,6.1,0,WEST,1093.047747
2012,1,11,22,30,0.5,70.53,-4.2,5.8,0,WEST,1078.649149
2012,1,11,23,30,-0.4,70.56,-5.1,5.5,0,WEST,1037.125852
2012,1,12,0,30,-1.2,70.15,-5.9,5.3,0,WEST,992.16491
2012,1,12,1,30,-1.9,68.97,-6.8,4.9,0,WEST,965.6347904
2012,1,12,2,30,-2.6,67.35,-7.8,4.5,0,WEST,979.456689
2012,1,12,3,30,-3.2,64.72,-8.9,4.4,0,WEST,997.8782878
2012,1,12,4,30,-3.6,60.47,-10.1,4.4,0,WEST,1028.00565
2012,1,12,5,30,-3.9,56.27,-11.3,3.9,0,WEST,1078.91815
2012,1,12,6,30,-4.1,53.72,-12.1,3,0,WEST,1171.583966
2012,1,12,7,30,-3.8,51.55,-12.3,2.6,0,WEST,1299.899565
2012,1,12,8,30,-2.6,44.85,-13,2.9,61,WEST,1358.595744
2012,1,12,9,30,-0.8,35.81,-14.1,2.8,296,WEST,1323.442129
2012,1,12,10,30,1.1,31.96,-13.8,2.5,409,WEST,1296.108421
2012,1,12,11,30,2.9,30.29,-12.9,2.5,541,WEST,1281.58044
2012,1,12,12,30,4.1,29.4,-12.2,2.5,591,WEST,1254.083771
2012,1,12,13,30,4.9,29.04,-11.7,2.6,598,WEST,1219.310765
2012,1,12,14,30,5.1,30,-11.1,2.6,585,WEST,1173.927083
2012,1,12,15,30,5,31.34,-10.6,2.3,452,WEST,1141.293249
2012,1,12,16,30,3.9,35.46,-10,1.5,208,WEST,1134.129036
2012,1,12,17,30,2.1,51.37,-6.9,1,77,WEST,1154.61954
2012,1,12,18,30,0.8,52.05,-7.9,1.2,0,WEST,1204.896168
2012,1,12,19,30,0.4,54.65,-7.7,1.4,0,WEST,1294.814738
2012,1,12,20,30,0.2,56.05,-7.5,1.5,0,WEST,1325.160914
2012,1,12,21,30,-0.1,56.86,-7.6,1.6,0,WEST,1352.831251
2012,1,12,22,30,-0.2,56.68,-7.8,1.9,0,WEST,1329.797285
2012,1,12,23,30,-0.4,56.49,-8,2.2,0,WEST,1272.530132
2012,1,13,0,30,-0.9,57.59,-8.2,2.1,0,WEST,1209.60523
2012,1,13,1,30,-1.4,58.92,-8.4,1.9,0,WEST,1168.016877
2012,1,13,2,30,-1.7,59.93,-8.5,1.6,0,WEST,1158.948841
2012,1,13,3,30,-1.9,60.76,-8.5,1.5,0,WEST,1160.6167
2012,1,13,4,30,-1.9,60.8,-8.5,1.4,0,WEST,1172.089795
2012,1,13,5,30,-2,61.78,-8.4,1.3,0,WEST,1193.360034
2012,1,13,6,30,-2.5,63.88,-8.4,1.2,0,WEST,1249.007837
2012,1,13,7,30,-2.1,59.99,-8.8,1.3,0,WEST,1352.109473
2012,1,13,8,30,0.3,53.71,-8,2,96,WEST,1390.374838
2012,1,13,9,30,3.4,42.54,-8.1,3,291,WEST,1346.077874
2012,1,13,10,30,5.9,35.1,-8.4,3.6,467,WEST,1277.390757
2012,1,13,11,30,7.7,32.85,-7.6,3.7,599,WEST,1203.370238
2012,1,13,12,30,9.1,32.29,-6.6,3.9,662,WEST,1125.818291
2012,1,13,13,30,10.3,31.21,-6,3.8,660,WEST,1063.396019
2012,1,13,14,30,10.9,29.74,-6.1,3.5,589,WEST,1016.457862
2012,1,13,15,30,10.8,28.59,-6.7,2.8,458,WEST,980.8797889
2012,1,13,16,30,8.6,34.29,-6.3,1.8,278,WEST,962.3750317
2012,1,13,17,30,5.4,49.32,-4.4,1.4,82,WEST,967.2734099
2012,1,13,18,30,3.6,46.82,-6.7,1.6,0,WEST,995.3836742
2012,1,13,19,30,2.5,48.55,-7.3,1.7,0,WEST,1096.230834
2012,1,13,20,30,1.7,49.36,-7.8,1.8,0,WEST,1135.816106
2012,1,13,21,30,1,50.29,-8.2,1.9,0,WEST,1150.943299
2012,1,13,22,30,0.4,51.48,-8.5,2.1,0,WEST,1156.338314
2012,1,13,23,30,0,52.57,-8.6,2.2,0,WEST,1142.168051
2012,1,14,0,30,-0.5,54.48,-8.6,2.3,0,WEST,1114.86285
2012,1,14,1,30,-0.9,55.82,-8.6,2.3,0,WEST,1094.286172
2012,1,14,2,30,-1.5,57.05,-8.9,2.3,0,WEST,1090.714806
2012,1,14,3,30,-1.9,56.29,-9.5,2.2,0,WEST,1099.516355
2012,1,14,4,30,-2.3,54.84,-10.2,2.1,0,WEST,1114.138217
2012,1,14,5,30,-2.6,53.16,-10.8,2.1,0,WEST,1134.751587
2012,1,14,6,30,-2.8,51.95,-11.3,2,0,WEST,1178.257443
2012,1,14,7,30,-1.7,46.96,-11.6,2.4,0,WEST,1237.416047
2012,1,14,8,30,1.1,40.13,-11,3.1,103,WEST,1314.920092
2012,1,14,9,30,4.2,32.38,-10.9,3.2,309,WEST,1315.657741
2012,1,14,10,30,7.9,28.32,-9.4,3.1,490,WEST,1243.549694
2012,1,14,11,30,11.8,23.2,-8.6,3.6,620,WEST,1166.3645
2012,1,14,12,30,14.5,18.12,-9.5,4.1,677,WEST,1082.148159
2012,1,14,13,30,16,15.08,-10.6,4.4,674,WEST,1013.8986
2012,1,14,14,30,16.3,14.26,-11.1,4.3,602,WEST,953.4834458
2012,1,14,15,30,15.3,15.37,-10.9,3.4,468,WEST,917.054558
2012,1,14,16,30,11.9,26.91,-6.6,2.1,287,WEST,896.6922735
2012,1,14,17,30,8.2,38.58,-5.1,1.7,87,WEST,887.9191452
2012,1,14,18,30,6.6,36.02,-7.4,1.7,0,WEST,910.3890702
2012,1,14,19,30,5.4,37.61,-7.9,1.8,0,WEST,990.0280749
2012,1,14,20,30,4.2,40.17,-8.2,2,0,WEST,1013.875121
2012,1,14,21,30,3.6,40.78,-8.5,2.4,0,WEST,1020.874449
2012,1,14,22,30,3.2,41.22,-8.7,3,0,WEST,1024.61071
2012,1,14,23,30,2.5,43.82,-8.6,3.4,0,WEST,1013.919011
2012,1,15,0,30,1.9,47.91,-8,3.7,0,WEST,992.47331
2012,1,15,1,30,1.5,52.78,-7.1,3.8,0,WEST,979.8087957
2012,1,15,2,30,1.4,56.54,-6.3,3.8,0,WEST,981.1947975
2012,1,15,3,30,1.5,58.12,-5.8,3.6,0,WEST,992.7968933
2012,1,15,4,30,1.6,58.63,-5.6,3.3,0,WEST,1007.735391
2012,1,15,5,30,1.3,59.61,-5.7,2.7,0,WEST,1026.756374
2012,1,15,6,30,0.9,59.84,-6,2.3,0,WEST,1060.087328
2012,1,15,7,30,2,53.93,-6.4,2.7,0,WEST,1102.860434
2012,1,15,8,30,4.6,45.31,-6.2,3.5,65,WEST,1151.707708
2012,1,15,9,30,7.9,35.97,-6.3,3.7,282,WEST,1168.383671
2012,1,15,10,30,11.7,29.99,-5.3,4.2,452,WEST,1130.127574
2012,1,15,11,30,15.1,24.55,-5,5.1,576,WEST,1077.048285
2012,1,15,12,30,17.6,22.23,-4.2,5.7,639,WEST,1017.681942
2012,1,15,13,30,19.3,22.35,-2.7,5.8,601,WEST,982.5552827
2012,1,15,14,30,20,24.06,-1.2,5.5,570,WEST,951.4979101
2012,1,15,15,30,19.4,27.22,0,4.2,443,WEST,922.7098993
2012,1,15,16,30,16.5,37.75,2,2.6,269,WEST,912.1228806
2012,1,15,17,30,13.2,48.49,2.6,2.1,75,WEST,904.5649582
